id,nombre_completo,edad,provincia,nivel_educativo,horas_estudio_semana,asistencia_%,internet_en_casa,nivel_socioeconomico,promedio_final
1,Dionisio Lupe Valentín Peiró,25,Chimborazo,Bachillerato,3,57.2,True,Alto,3.69
2,Quirino Otero Pagès,25,Guayas,Bachillerato,21,58.2,True,Medio,5.09
3,Gastón Ferrando Cámara,18,Guayas,Bachillerato,18,58.6,True,Bajo,4.1
4,Plácido Reyes Gálvez,17,Esmeraldas,Bachillerato,36,68.6,True,Bajo,5.17
5,Máxima Conesa,17,Pichincha,Secundaria,5,71.8,True,Alto,3.73
6,Custodio de Valenzuela,24,Manabi,Secundaria,15,78.8,False,Medio,4.38
7,Chuy Bayo Gelabert,16,Tungurahua,Secundaria,31,68.1,False,Bajo,5.31
8,Isa Tur,21,Esmeraldas,Secundaria,13,63.6,False,Medio,4.21
9,Prudencia Rueda,20,Loja,Bachillerato,28,86.0,True,Medio,5.89
10,Chita Iborra Garcés,18,Tungurahua,Bachillerato,0,51.3,False,Bajo,3.24
11,Vinicio Mateo-Torrens,24,Pichincha,Secundaria,19,74.0,True,Bajo,5.49
12,Bernarda Caro Taboada,25,Guayas,Secundaria,38,59.7,True,Medio,5.1
13,Eleuterio Jenaro Higueras Murillo,21,Chimborazo,Secundaria,7,95.0,False,Bajo,5.4
14,Fernanda Trillo,17,Tungurahua,Secundaria,10,94.7,True,Medio,5.94
15,Jose Comas Sobrino,19,Guayas,Secundaria,32,65.4,False,Alto,5.67
16,Prudencio Cortina Arribas,20,Chimborazo,Bachillerato,39,82.0,False,Alto,6.0
17,Benita Aguiló Luna,16,Pichincha,Secundaria,28,81.5,False,Medio,5.8
18,Baldomero Acevedo Izquierdo,21,Tungurahua,Bachillerato,18,92.3,True,Bajo,5.29
19,Benito Egea,23,Tungurahua,Secundaria,8,78.8,True,Bajo,3.82
20,Soraya Pujol Alsina,17,Guayas,Secundaria,40,58.4,True,Medio,5.78
21,Abilio del Guzmán,21,Guayas,Bachillerato,11,61.0,False,Medio,4.42
22,Ulises de Robles,22,Loja,Secundaria,32,68.6,False,Bajo,5.44
23,Maristela Caridad Barreda Español,22,Chimborazo,Bachillerato,38,65.7,False,Bajo,5.62
24,Raúl Casares Vera,20,Chimborazo,Bachillerato,32,95.0,True,Medio,6.69
25,Aarón Conrado Pérez Reyes,16,Loja,Bachillerato,39,97.5,False,Alto,7.45
26,Graciana Escribano Mas,19,Loja,Bachillerato,29,96.7,False,Medio,6.08
27,Josefa de Perea,22,Manabi,Secundaria,13,85.9,False,Alto,4.97
28,Ofelia Lucena,24,Pichincha,Bachillerato,27,66.2,False,Medio,5.21
29,Ceferino Donaire Gelabert,20,Tungurahua,Bachillerato,26,67.1,True,Alto,4.97
30,Olegario de Feijoo,24,Pichincha,Secundaria,40,50.5,True,Bajo,4.52
31,Dalila Aroa Villalonga Gomez,22,Manabi,Secundaria,14,86.3,True,Medio,5.55
32,Manuelita Palau,25,Guayas,Bachillerato,13,99.0,False,Bajo,5.73
33,Vilma Caparrós Expósito,19,Guayas,Secundaria,28,61.6,True,Medio,4.57
34,Lucila Rius Hernández,18,Pichincha,Bachillerato,4,77.2,True,Alto,3.48
35,Isidro Infante,21,Chimborazo,Bachillerato,24,89.1,False,Alto,5.64
36,Macaria Santos Vazquez,21,Guayas,Secundaria,36,77.0,False,Bajo,6.26
37,Ángeles Quintanilla Monreal,19,Pichincha,Bachillerato,37,56.2,False,Bajo,4.03
38,Luis Benavent Mateo,22,Chimborazo,Secundaria,30,73.6,True,Medio,5.3
39,Ale Azcona Pablo,16,Esmeraldas,Secundaria,0,88.4,True,Medio,4.1
40,Elvira Méndez Beltran,18,Pichincha,Bachillerato,6,99.4,False,Medio,5.8
41,Hilario Lledó Moraleda,16,Esmeraldas,Bachillerato,17,64.2,False,Medio,5.21
42,Alejandro Márquez Ayuso,23,Esmeraldas,Bachillerato,9,82.5,True,Alto,4.08
43,Silvia de Cervera,25,Guayas,Secundaria,16,76.0,True,Alto,4.9
44,Amor Morera Catalá,21,Loja,Bachillerato,29,80.2,False,Alto,5.4
45,Herberto Borja Pi Grande,15,Esmeraldas,Secundaria,1,77.4,False,Alto,4.0
46,Olga Alonso Mendizábal,23,Chimborazo,Bachillerato,30,79.6,True,Alto,5.33
47,Yolanda Anita Ponce Angulo,19,Tungurahua,Bachillerato,6,89.6,True,Medio,4.6
48,Lázaro Ríos Cobo,15,Guayas,Secundaria,5,82.7,False,Medio,4.59
